word_texts,lemmas,postags,forms
meile,mina,P,pl all
ikka,ikka,D,
",",",",Z,
ja,ja,J,
mõnel,mõni,P,sg ad
pool,pool,K,
üha,üha,D,
enam,enam,D,
",",",",Z,
muret,mure,S,sg p
teeb,tegema,V,b
.,.,Z,
Lõpetuseks,lõpetus,S,sg tr
",",",",Z,
head,hea,A,pl n
kolleeegid,kolleeg,S,pl n
",",",",Z,
Valimisplakateilt,valimisplakat,S,pl abl
üle,üle,D,
Eesti,Eesti,H,sg g
vaatavad,vaatama,V,vad
valijate,valija,S,pl g
poole,poole,K,
Riigikogu,riigikogu,S,sg g
liikmed,liige,S,pl n
ja,ja,J,
ministrid,minister,S,pl n
",",",",Z,
kes,kes,P,pl n|sg n
kandideerivad,kandideerima,V,vad
kohalikesse,kohalik,A,pl ill
volikogudesse,volikogu,S,pl ill
.,.,Z,
Mõnigi,mõni,P,sg n
neist,tema,P,pl el
ei,ei,V,neg
plaani,plaan,S,sg g
sinna,sinna,D,
tööle,töö,S,sg all
minna,minema,V,da
.,.,Z,
Reklaam,reklaam,S,sg n
",",",",Z,
millest,mis,P,pl el|sg el
on,olema,V,b|vad
teada,teadma,V,da
",",",",Z,
et,et,J,
kandidaat,kandidaat,S,sg n
valituks,valitud,A,sg tr
saades,saama,V,des
oma,oma,P,sg g
kohta,kohta,K,
vastu,vastu,D,
ei,ei,V,neg
võta,võtma,V,o
",",",",Z,
viib,viima,V,b
otse,otse,D,
meie,mina,P,pl g
erakondliku,erakondlik,A,sg g
süsteemi,süsteem,S,sg g
diskrediteerimisele,diskrediteerimine,S,sg all
.,.,Z,
See,see,P,sg n
on,olema,V,b|vad
silmakirjalik,silmakirjalik,A,sg n
ja,ja,J,
võõrandav,võõrandav,A,sg n
.,.,Z,
See,see,P,sg n
põhjustab,põhjustama,V,b
suhtumist,suhtumine,S,sg p
",",",",Z,
mida,mis,P,pl p|sg p
kuuleme,kuulma,V,me
ja,ja,J,
loeme,lugema,V,me
meediast,meedia,S,sg el
päevast,päev,S,sg el
päeva,päev,S,sg p
.,.,Z,
Te,sina,P,pl n
ju,ju,D,
kõik,kõik,P,pl n|sg n
teate,teadma,V,te
",",",",Z,
et,et,J,
nii,nii,D,
on,olema,V,b|vad
.,.,Z,
Head,hea,A,pl n
kolleegid,kolleeg,S,pl n
.,.,Z,
Olge,olema,V,ge
oma,oma,P,sg g
valijate,valija,S,pl g
vastu,vastu,K,
ausad,aus,A,pl n
.,.,Z,
On,olema,V,b|vad
kaks,kaks,N,sg n
võimalust,võimalus,S,sg p
.,.,Z,
Riigikogu,riigikogu,S,sg n
võib,võima,V,b
taastada,taastama,V,da
liikmete,liige,S,pl g
õiguse,õigus,S,sg g
osaleda,osalema,V,da
kohalikes,kohalik,A,pl in
volikogudes,volikogu,S,pl in
.,.,Z,
Sel,see,P,sg ad
juhul,juht,S,sg ad
tuleb,tulema,V,b
põhjalikult,põhjalikult,D,
läbi,läbi,D,
vaielda,vaidlema,V,da
sellise,selline,P,sg g
olukorra,olukord,S,sg g
põhiseaduspärasus,põhiseaduspärasus,S,sg n
",",",",Z,
ent,ent,J,
sedagi,see,P,sg p
ei,ei,V,neg
maksa,maksma,V,o
karta,kartma,V,da
.,.,Z,
Teine,teine,O|P,sg n
võimalus,võimalus,S,sg n
on,olema,V,b|vad
täita,täitma,V,da
kehtiva,kehtiv,A,sg g
seaduse,seadus,S,sg g
eesmärke,eesmärk,S,pl p
.,.,Z,
Sel,see,P,sg ad
juhul,juht,S,sg ad
olgu,olema,V,gu
linna-,linn,S,sg g
ja,ja,J,
vallavolikogud,vallavolikogu,S,pl n
kohalike,kohalik,A,pl g
liidrite,liider,S,pl g
päralt,päralt,K,
.,.,Z,
Ja,ja,J,
siis,siis,D,
tuleks,tulema,V,ks
ka,ka,D,
just,just,D|I,
neid,tema,P,pl p
valimisvõitluses,valimisvõitlus,S,sg in
esile,esile,D,
tõsta,tõstma,V,da
.,.,Z,
See,see,P,sg n
on,olema,V,b|vad
Riigikogu,Riigikogu,H,sg g
ehk,ehk,J,
Eesti,Eesti,H,sg g
esindusdemokraatia,esindusdemokraatia,S,sg g
maine,maine,S,sg g
küsimus,küsimus,S,sg n
.,.,Z,
Soovin,soovima,V,n
Teile,sina,P,pl all
tegusat,tegus,A,sg p
istungjärku,istungjärk,S,sg p
",",",",Z,
head,hea,A,pl n
rahvaesindajad,rahvaesindaja,S,pl n
.,.,Z,
Ma,mina,P,sg n
tänan,tänama,V,n
Teid,sina,P,pl p
.,.,Z,
