word_texts,lemmas,postags,forms
kui,kui,D|J,
ühed,üks,P,pl n
ülistavad,ülistama,V,vad
teoreetilist,teoreetiline,A,sg p
marksismi,marksism,S,sg p
",",",",Z,
teised,teine,O|P,pl n
usuvad,uskuma,V,vad
pimesi,pimesi,D,
turgudesse,turg,S,pl ill
",",",",Z,
kolmandad,kolmas,O,pl n
kiruvad,kiruma,V,vad
kunagiste,kunagine,A,pl g
vapside,vaps,S,pl g
moel,mood,S,sg ad
erakondi,erakond,S,pl p
ja,ja,J,
ootavad,ootama,V,vad
kõva,kõva,A,sg g
käe,käsi,S,sg g
karmi,karm,A,sg p
kehtestamist,kehtestamine,S,sg p
.,.,Z,
Head,hea,A,pl n
teadlased,teadlane,S,pl n
ja,ja,J,
arvajad,arvaja,S,pl n
",",",",Z,
pakkuge,pakkuma,V,ge
siis,siis,D,
oma,oma,P,sg g
eelistatud,eelistama|eelistatud,A|V,|pl n|sg n|tud
valikud,valik,S,pl n
välja,välja,D,
konkreetselt,konkreetselt,D,
ja,ja,J,
arusaadavalt,arusaadavalt,D,
.,.,Z,
Selgitage,selgitama,V,ge
",",",",Z,
kuidas,kuidas,D,
neid,see,P,pl p
saavutada,saavutama,V,da
.,.,Z,
Vaid,vaid,D,
nii,nii,D,
saame,saama,V,me
arutelu,arutelu,S,sg p
edasi,edasi,D,
viia,viima,V,da
.,.,Z,
Samuti,samuti,D,
riigivalitsemise,riigivalitsemine,S,sg g
asjus,asi,S,pl in
.,.,Z,
Ühed,üks,P,pl n
nõuavad,nõudma,V,vad
otsedemokraatiat,otsedemokraatia,S,sg p
",",",",Z,
vastamata,vastama,V,mata
küsimusele,küsimus,S,sg all
",",",",Z,
kas,kas,D,
iga,iga,P,sg n
seaduseparandus,seaduseparandus,S,sg n
tuleks,tulema,V,ks
elektrooniliselt,elektrooniliselt,D,
rahvahääletusele,rahvahääletus,S,sg all
panna,panema,V,da
.,.,Z,
Teised,teine,O|P,pl n
