par_nr	head	sentence
96	NA	 Ühel vaiksel pühapäeva pärastlõunal kihutasid nad äkki oma vana sapakaga külavaheteel , järel tolmupilv , mis terve küla enda alla mattis . 
97	NA	" "" Pane tähele , nüüd hakkab meil siin igasugu imelikke asju juhtuma , "" ennustas Chris neile järele vaadates . "
97	NA	" "" Nii bravuurikas sisenemine meie vaiksesse külamiljöösse ennustab revolutsioonilist ajajärku . "" "
98	NA	" Otsustasime siis Chrisiga vanapaari kohta järelepärimisi teha ja selgus , et nad on ostnud enesele kahetoalise korteri ühes meie küla kahest "" ühismajast "" . "
98	NA	 Kuna meil oli juba luuramise alal kogemusi , siis hiilisimegi järgmisel päeval nende maja juurde , sest nood tegelased pakkusid meile hullupööra huvi . 
99	NA	" "" Ehk saan oma raamatu tarbeks mahlakat materjali , "" ütlesin Chrisile , kui puukuuri varjust maja poole piilusime . "
100	NA	 Vanamees oli parajasti käpili sapaka kõrval ja püüdis tolle alla piiluda . 
101	NA	 Ta volüümikas kaasa lainetas maja juurest auto poole . 
101	NA	" "" On sul miskit kadund või ? "" päris ta . "
102	NA	" "" Too käru kõlbab veel vaid koerakuudiks . "
102	NA	" Vanamoor , sa oled ühe otsa päris maadligi vajutand , "" teatas papi tõredalt . "
103	NA	 Proua lõi käed vihaselt puusa . 
103	NA	" "" Olekski aeg too romu mõne moodsama sõiduriista vastu vahetada , "" käratas ta . "
104	NA	" "" Ehk oleks sul hoopis aeg kaalu jälgima hakata , muidu tuleb mul sind mõne kergema daame vastu välja vahetada , "" torkis vanamees auto ümber roomates . "
105	NA	" "" Või et mina sulle äkki enam ei kõlba , "" sai proua päris vihaseks . "
105	NA	" "" Kes käis mul kuude kaupa kui uni kannul ? "" "
106	NA	" "" Ei tia jah , mis kuri vaim mul kallal oli . "
106	NA	" Jo sa moole ikke koerapöörirohtu sisse söötsid , "" narris papi edasi . "
107	NA	 Proua lõi näost päris lõkendama . 
108	NA	" Vanamees , märgates kaasa viha kerkivat , jätkas veidi pehmemalt : "" Ega sul ju esiotsa midagist viga olnd . "
108	NA	" Aga ... oleks ma toda tiand , et sa sedamoodi paisuma hakkad , ma oleks meile hoopistükkis jalgrattad ost . "" "
109	NA	" "" Ma sulle teen siin jalgrattaid ! "" karjus proua . "
109	NA	" "" Sa jällegist väntaks selle vähesegi liha luude pealt , mis sind praegu veel veidigi inimese moodi hoiab . "
109	NA	 Mees või asi . 
109	NA	" Selline kribudik . "" "
110	NA	" "" Kas sul sääraste asjade tarbeks mõnd loitsu või võlusõna siis polegi ? "" päris papi . "
110	NA	" "" Sa ju tolle nõiavärgindusega viimasel ajal vägagi sina pääl . "" "
111	NA	" "" Sinu terava keele vastu pean ma küll midagi ette võtma , "" teadustas proua otsustavalt . "
112	NA	" "" Vaata , et sa toda nõidust enne ikke enese pääl katsetad , muidu võin ma äkki maduusse sülgama hakata . "
112	NA	" Või hakkavad mu suust hoopis dollarid kukkuma , "" itsitas papi . "
112	NA	" "" Sa mõtle , mihukesest varandusest sa siis ilma jääksid , sest ega ma suga seda raha küll jagama hakka . "" "
113	NA	 Proua mühatas midagi ja marssis vihaselt tuppa . 
114	NA	" "" Ei tea , mis nõidumisevärgist too vanamees jahus ? "" arutlesin mina . "
115	NA	" "" Too proua on vist üks neist , kellel see kolmas silm on avanend , "" arvas Chris . "
115	NA	" "" Meie väikene maa olla sääraste inimeste hulga poolest maailma arvestuses esimeste seas . "" "
116	NA	 Proua astus taas õue . 
116	NA	" "" Kuule , vanamees , kus mu kaardipakk on ? "" "
117	NA	" "" Mõh ? "
117	NA	" Kaardipakk ? "" "
117	NA	 Auto alt välja roomanud , pühkis papi õliseid käsi ja jäi siis kaasale nagu millegi üle aru pidades otsa vaatama . 
117	NA	" "" Ära karda , suitsupakiga ma toda oma mäletamist mööda küll segi pole ajanud . "
117	NA	" Sinu nõidumiseatribuutikast hoian ma kui katkust eemale . "" "
118	NA	" "" Ah , "" lõi proua taas vihaselt käega ja vuhises tagasi tuppa . "
119	NA	" "" Kas laseme enestele ka tulevikku ennustada ? "" küsis nüüd Chris . "
120	NA	" "" Ma kujutan ette küll , mida too proua ennustaks , kui me kahekesi ta jutule läheksime , "" ütlesin mina . "
121	NA	" "" Noh , mida siis ? "" "
122	NA	" "" Ta ütleks meile lihtsast loogikast lähtudes , ilma oma kaartidesse üldse süvenemata , et me abiellume , meil on kuus last , sina käid merel ja mina hoian kodu ning kantseldan lapsi . "" "
123	NA	 Chris vidutas silmi . 
123	NA	" "" Aga ... võib-olla see polegi nii väga vale , "" tähendas ta siis ja hakkas kavalalt naerma . "
124	NA	" "" Nojah , eks suurem jagu inimesi arvab nii , et eks meist ükskord ikka paar saab , "" muigasin mina . "
124	NA	" "" Loogiliselt võttes , noh . "" "
125	NA	" "" Jah , kellelgi ei tuleks tõepoolest pähe , et mina teen ükskord tolle Naerva Suslikuga , või kes ta iganes ka on , pulmad ära , "" itsitas Chris . "
125	NA	" "" Ja sina ... ee ... "" "
126	NA	" "" Mina ehitan metsa onni , võtan enesele hoopistükkis kuus kassi ja hakkan üksindusevalust armastusromaane kirjutama , "" naersin ma nii , et silmist vesi väljas . "
127	NA	 Eks aeg näitab , mis meist Chrisiga saab . 
127	NA	 Mina igatahes arvan , et selle kiire asjaga on aega küll . 
127	NA	" Tädi Klara ütleb ikka : "" Ega meheleminek pole nagu reheleminek , et võtad aga hangu selga ja lähed . "" "
128	 7 . 	 7 . 
129	NA	 Nagu te kõik hästi teate , võetakse praegu metsa maha , nagu niidetaks vikatiga üle pea kasvanud heina — ikka siuh-säuh siit ja siuh-säuh sealt , ning meie metsarikas maa meenutab varsti kuumaastikku . 
129	NA	 Need meie küla metsalangetajad elasid ühes hea õnne peale püsti seisvas osmikus , mis asub Samueli majast pool kilomeetrit eemal , ning too laastamistöö kestis õige mitu kuud järjest . 
129	NA	 Mehed ise olid tolle osmiku- ja metsaomaniku saadetud töölised . 
129	NA	 Omanik ise elab linnas ning olla selle koha ainuüksi metsa pärast ostnudki . 
129	NA	 Nood metsalangetajad olid aga ütlemata ülbed tüübid . 
129	NA	" Ühel hommikul , kui Samuel , seljakott seljas , poe poole sammudes nende majast möödus , olevat üks mees teistele hõiganud : "" Vaadake metsakolli ! "" ja terve kamp hakanud mörinal naerma . "
129	NA	 Aga ega Samuel polnud ainus , kes nende naeru- ja pilkealuseks sai . 
129	NA	 Neil oli asja pea igaühega , kes vähegi tee peale ette jäi . 
129	NA	 Juhtusime Chrisiga pealt nägema , kuidas nad ühel seitsme-kaheksa-aastasel poisikesel kommikoti käest võtsid , andes tollele irvitades vaid üheainsa kommi , ning hirmutasid , et too kellelegi ei tohi rääkida , sest muidu ... 
129	NA	 Ja ühel meie küla papil , kes mingi õnnetuse järel tugevasti lonkab , käisid nad kambaga kannul ja tegid irvitades tolle kõnnakut järgi . 
129	NA	 Mõtlesime siis Chrisiga , mismoodi neile tegelastele veidike õpetust anda , ja välja mõtlesime . 
130	NA	 Too vildakas osmik , kus nood ülbitsejad pesitsesid , seisab nimelt üsna kõrge ja lageda künka otsas . 
130	NA	 All orus on endise villavabriku varemed . 
130	NA	 Ühel tuulisel kevadõhtul hiilisime Chrisiga meile omasel kombel tolle osmiku juurde , sest Chrisi arvates pidavat kohapeal kõige paremad ideed tulema . 
130	NA	 Samal ajal hakkas kergelt vihma sadama ja kusagil eemal oli äikest kuulda . 
131	NA	 Chris uuris silmi vidutades ümbrust . 
131	NA	" "" Ega siin just palju võimalusi ei ole , "" ütles ta veidi aja pärast . "
131	NA	" "" Me võiksime ju valged linad ümber võtta , uksele koputada ja neile tõelist metsakolli näidata . "
131	NA	 Aga ... vaevalt sel erilist efekti oleks . 
131	NA	" Nood sellid on selliste paranähtuste suhtes ilmselt üsna skeptiliselt meelestatud . "" "
131	NA	 Chris kratsis nagu millegi üle aru pidades kukalt . 
131	NA	" "" Tüki maad parem variant oleks , kui me suudaksime kusagilt karunaha muretseda , "" jätkas ta siis , "" sest säärase eluka peale oma ukse taga saaksid nad kindla peale kreepsu . "" "
132	NA	" "" Järelikult peame karujahile minema , "" märkisin seepeale mina . "
132	NA	" "" Kas sul relvaluba on ? "" "
133	NA	" Chris vaatas mulle pikalt otsa , pidas veel nagu millegi üle aru ja ütles siis äkki kavala häälega : "" Mulle tundub , et me saame käepärasemate vahenditega oma missiooni teoks teha . "
133	NA	" Ühe karu elu ei tasu ju siiski spetsiaalselt sääraste lontruste tarbeks ohverdada . "" "
134	NA	 Vihm tihenes ja äike müristas juba päris tugevasti . 
135	NA	" "" Mis sa teha mõtled ? "" pärisin Chrisilt ja tõmbasin kapuutsi pähe . "
136	NA	 Chris itsitas . 
136	NA	" "" Tähelepanu ! "
136	NA	" Algab operatsioon nimetusega "" Sinna , kus keiser seni jala käis , tuleb nüüd autoga sõita "" . "" "
136	NA	 Ta osutas näpuga künkaserval seisvale kemmergule , mis oli sama logu kui majagi . 
136	NA	" "" Mis mõte sul pähe tuleb ? "" "
137	NA	 Vaatasin toda putkat , siis vaatasin muigvel suuga Chrisi , ja kui äike meie peade kohal kärgatas , hakkasin äkki naerma . 
137	NA	" "" Selline mõte , et l o o d u s j õ u d u d e vastu saa , kui nood on otsustanud eluliselt olulisele ehitisele tuule alla teha . "" "
138	NA	" "" Justament ! "" tõstis Chris sõrme püsti ja kihistas naerda . "
139	NA	" "" Noh , aga läki siis ! "
139	NA	" Aknast me neile ju kätte ei paista , "" olin mina täis võitlusvaimu . "
140	NA	 Lidusime Chrisiga läbi vihma kemmergu poole . 
141	NA	" "" Me peame tolle lükkamistöö õigesti ajastama , "" ütles Chris ja püüdis putkat kõigutada . "
141	NA	 Kolmandal katsel hakkaski ehitis liikuma . 
141	NA	 Andsin missiooni heaks ka omapoolse panuse ja just siis , kui äike meie peade kohal järjekordse paugu pani , lendas kemmerg meie musklijõule erilist vastupanu osutamata põmaki künka otsast alla villavabriku varemete poole . 
142	NA	" "" Näis nüüd , kuda need ülbitsejad hommikul üle põllu metsa poole liduvad , "" itsitas Chris . "
142	NA	" "" Metsa poole , mille nad enamasti on juba maha võtnud . "" "
143	NA	" "" Ehk tellivad takso , et rutem pärale jõuda , "" pakkusin mina . "
143	NA	" "" Sinna ju päris pikk maa minna . "
143	NA	" Aga muud ei jää üle , sest tikripõõsad siin osmiku ümber eriti varju ei paku . "" "
144	NA	 Naersime mis kole . 
145	NA	 Järgmisel hommikul kuulsime , kuidas metsalangetajad kirusid poe ees õhtust äikest ja tuult , mis nende kemmergu ära oli lõhkunud . 
145	NA	 Nad olevat niigi oma tööga graafikust maas ja tööandja olevat vihane . 
145	NA	 Nüüd tuleb neil veel terve päev uue kemmergu ehitamisele raisata ! 
146	NA	 Noh , vähemasti ülbitsemiseks ei jagunud neil seetõttu enam üldse aega . 
147	 8 . 	 8 . 
148	NA	 Nagu öeldud , olen ma viisteist ja kõigi reeglite kohaselt peaksin olema hullupööra armunud . 
148	NA	 Aga võta näpust — ei ole mitte . 
148	NA	 Nii peast segi , kui mu klassiõde Reelika , pole mina veel ühegi poisi pärast läinud . 
148	NA	 Ju ma olen ka selles vallas teistsugune kui teised — alternatiivlaps , noh – , sest ilmas on küll palju armsaid ja toredaid poisse , ja nii mõnigi on mulle ka pikemalt silma jäänud , kuid kellessegi hullupööra ära armuda pole mul veel õnnestunud . 
148	NA	 Ja võib-olla on see isegi hea . 
148	NA	 Vähemasti tundub mulle nii Reelikat kõrvalt vaadates . 
148	NA	 Kui minu süda taoks mõnd poissi nähes kui kirikutorni kell ülestõusmispühade hommikul ja põlved oleksid nõrgad , justkui vaevaks mind juba nii noores eas osteoporoos , siis oleks mu vaimne ja füüsiline tervis küll nii rivist väljas , et vaevalt must üldse pärast seda enam elulooma saaks . 
148	NA	 Tõenäoliselt ei suudaks ma kooligi lõpetada , sest säärases seisundis pole mõtteid koondada üldse võimalik , nagu Reelika pealt näha on . 
148	NA	 Kõigele vaatamata juhtub selline asi ilmselt ükskord ka minuga , kuid loodetavasti veidi kaugemas tulevikus . 
148	NA	 Praegu pajatan teile aga Reelikast . 
149	NA	 Reelika sõidab alalõpmata linna vahet — ta on kohe selline rahutu hing — ja ükskord nägi ta bussijaamas üht poissi , kellesse ta silmapilkselt ära armus . 
149	NA	 Nüüd raiskab ta pea kogu taskuraha sõjamaalingu tegemise instrumentide peale , et järgmisel korral poisile silma jääda . 
149	NA	 Huvitav , et vanal hallil ajal , kui säärast atribuutikat olemaski polnud , said naised ikkagi mehele . 
149	NA	 Praegu sisendatakse sulle , et kõik su šansid sõidavad seenele , kui su ripsmed pole kaks korda pikemad ja kolm korda tihedamad kui Looja loonud . 
149	NA	 Ma olen kuulnud , et mõned tüdrukud kardavad lausa paaniliselt ilma meigita silmnägu ligimestele näidata . 
150	NA	" "" Kõik tüdrukud ju värvivad ennast , "" ütles Reelika bravuurikalt , kui ma järgmisel päeval tema ehk liigagi tugevat võõbakorda kommenteerisin . "
150	NA	" "" Ja mina ei saa siis ju teiste seas plassi näoga ringi käia , nagu oleks mul mingi surmatõbi kallal . "
150	NA	" Sulle , muuseas , tuleks kah kasuks , kui endale näo pähe teeksid . "" "
151	NA	 Mina , tõepoolest , kasutan ainult huuleläiget . 
151	NA	 Reelika nägi aga oma maalinguga välja nagu nõiaella , ehkki paistis oma väljanägemisega ise igati rahul olevat . 
152	NA	" "" Too poiss märkab mind nüüd kindla peale , "" oli Reelika veendunud . "
153	NA	 Jah , tõenäoliselt märkab küll , ning hoiab edaspidi tollest bussijaamast ja bussisõidust üldse kui katkust eemale , kui Reelika seal tema poole oma lilla-roosa-rohelisekirjusid silmi välgutama hakkab . 
153	NA	 Noh sellepärast , et võib-olla on ta nende kemikaalide suhtes , millega Reelika end on töödelnud , hullupööra allergiline — igas mõttes . 
154	NA	 Ühel õhtul , pärast toda meeletut armumist , tormas Reelika ilma koputamata majauksest sisse ja trepist üles minu tuppa , märkamata tädi Klarale teregi öelda . 
154	NA	 Ta lõi suure mürtsuga mu toaukse kinni ja prantsatas kušetile , hingeldades justkui oleks mõni maniakk teda , pussnuga peos , mööda küla taga ajanud . 
155	NA	" "" Ma nägin teda täna ! "" tuli ta lõpuks , kui oli veidi rahunenud , vapustava teatega lagedale . "
156	NA	" "" Noh , räägi siis , "" muutusin ma kärsituks , kui Reelika seejärel minu toa seinale uneledes naeratama hakkas , nähes seal ilmselgelt t e d a. "
156	NA	 Kuna mulle ei meeldi kutsumata külalised , pealegi veel võhivõõrad ning nähtamatud , otsustasin tolle tumma kahekõne lõpuks veidi jõulisemate vahenditega katkestada ja panin tümpsulugudega plaadi mängima . 
156	NA	 Sellel polnud aga erilist efekti , sest Reelika oli täielikult unustanud , kus ta on ja milleks ta seal on . 
157	NA	" "" I wanna be the sunshine in your arms ... "" hakkas ta hoopis kõvasti ja valesti plaadile kaasa laulma . "
158	NA	" Panin siis plaadimängija kinni , kuid Reelika ei märganud midagi , vaid laulis nüüd juba järgmist lugu ikka veel edasi , endal silmad suletud ja totter naeratus näol : "" Hey , boy , follow me , if you wanna see the sky ... "" "
159	NA	 Vaevalt tollele poisile seal pilvede peal kakerdamine erilist lõbu pakuks , kui poleks lootustki enam kindlat maad jalge all tunda , mõtlesin Reelikat vaadates . 
159	NA	 Korraga lõi too silmad lahti . 
160	NA	" "" Miks sa CD-mängija kinni panid ? "
160	NA	 Nii hea lugu ! 
160	NA	" Just nagu minu jaoks kirjutatud . "" "
161	NA	 Vaatasin teda pika pilguga . 
161	NA	" "" Muusika on juba tükk aega vait , sina märkasid alles nüüd . "" "
162	NA	" "" Tõesti või ? "" ajas ta silmad imestusest suureks . "
163	NA	" "" Kas poleks nüüd aeg too lugu , mille pärast sa poole öö ajal ikka veel mu buduaaris istud , lühidalt kokku võtta , sest mul on uni ? "" "
164	NA	" "" Mis ? "
164	NA	" Kas juba on öö käes või ? "" vahtis Reelika arusaamatult ringi , otsides kella , mis kinnitaks fakti uneaja saabumisest . "
164	NA	" "" Issake ! "
164	NA	" Pool üksteist . "" "
165	NA	" "" Just nimelt . "" "
166	NA	" "" Oi , anna andeks , ma unustasin end päris ära , "" vabandas ta nagu muuseas ning vaterdas siis ühe hingetõmbega kogu loo . "
166	NA	" "" Ühesõnaga , ma nägin t e d a ! "
166	NA	 Bussijaamas jällegist , noh . 
166	NA	 Nojah , ja ainus võimalus tuttavaks saada on ju millestki rääkima hakata . 
166	NA	 Aga siis , kui see kauaoodatud hetk käes oli , tekkisid mul suurest närvitsemisest mälulüngad . 
166	NA	 Kõik mu õhtust õhtusse koostatud kõned olid kui luuaga peast pühitud . 
166	NA	 Noh , ja kella ei saand kah küsida , sest too lontrus vahtis mulle niigi bussijaama ooteruumi seinalt irvitades vastu . 
166	NA	 Aga lõpuks suutsin ma oma peas siiski ühe küsimuse koostada . 
166	NA	 Seda oleks muidugist õigem olnd küsida mõnelt bussijaama töötajalt , aga selleks ajaks oli mul juba kama , kui lolliks ma end teen või kas ma mitte selsamal hetkel üldse hinge ei heida . 
166	NA	 Nojah , ja siis astusingi ma reipal sammul t e m a poole , aga enne kui sihtpunkti jõudsin , liipas üks papi mulle tee peale ette ja ma väänasin ta kodinate otsa koperdades jala välja . 
166	NA	 Ai raisk , kus ma siis vandusin , nii et vanamees vaid ägises . 
166	NA	 Noh , aga mis ta siis kooserdab mööda ilma ringi , kui jalad enam ei kanna ja teistele jalgu jääb . 
166	NA	 Lõpuks jõudsin ma aga kuidagimoodi ikka t e m a n i ja küsisin siis ühe hingetõmbega , et milline buss läheb sinna , kuhu minul on vaja minna . 
166	NA	" Ja siis vaatas ta mulle otsa ! "" "
166	NA	 Reelika jäi hetkeks vait . 
166	NA	" "" Ja siis vaatas ta mulle otsa ning ütles : "" Seda bussi pole vist veel tulnud . "" "" "
166	NA	 Reelika silmad särasid seda lauset korrates , just nagu oleks poiss talle mingi suure saladuse avaldanud . 
166	NA	" "" Ja siis ma märkasin , et sõbrad viipasid talle eemalt ning tema viipas vastu . "
166	NA	" Ja ... ja siis läksid nad bussi peale . "" "
167	NA	" "" Ja oligi kõik või ? "" küsisin , kui toas oli vaikseks jäänud . "
168	NA	 Reelika vaatas mind imeliku pilguga . 
169	NA	" "" Noh , vähemasti liikusid sa sammukese edasi , "" püüdsin oma järsku küsimust siluda . "
170	NA	" "" Sammukese ? "
170	NA	" See oli v ä g a suur samm ! "" teatas Reelika solvunult , tõusis püsti ja marssis ukse poole . "
170	NA	 Korraga jäi ta aga seisma . 
170	NA	" "" Nojah , tegelikult on sul ju paganama õigus , "" ütles ta siis , "" sest ma ei tea ju , millal ma t e d a jälle näen , ja see tänane sammuke jõuab vahepeal mu närvid puha krussi ajada . "" "
170	NA	" Reelika hingas korra sügavalt sisse ja pahvatas siis vihaselt : "" Et see kuramuse vanamees pidi ka jalgu jääma . "
170	NA	 Mul oleks jäänd tublisti rohkem aega poisiga tuttavaks saada , kui see papi poleks ette töllerdand . 
170	NA	 Kindla peale oli ta mõni prükkar ja ta kompsud olid vanarauda ja õllepudeleid täis . 
170	NA	" Mu jalg on vist hommikuks täitsa paistes . "" "
171	NA	" "" Võib-olla oli see sinu teekonda takistav papi märgiks , et ei maksa oma aega , raha ja energiat tolle poisi peale raisata , sest ta pole see õige , "" pakkusin mina selle jutu peale . "
172	NA	" "" Märgiks ? "
172	NA	" Või sina oled siis nüüd oraakliks hakanud ? "" sai Reelika päris kurjaks . "
172	NA	" "" Mina ise tean , kes on minule õige , ja need kuradima kaitseinglid , või kes nad sul on , sõitku oma märkidega seenele . "" "
172	NA	 Ta virutas ukse enda järel kinni ja rahu oli lõpuks majas . 
172	NA	 Selleks korraks . 
173	 9 . 	 9 . 
174	NA	" "" Too Loreida korrutas mulle , et kõik , mis tulema peab , see tuleb , ja tuleb siis , kui aeg on õige . "" "
174	NA	 Reelika oli vihane . 
174	NA	 Ta oli nimelt käinud kaardimoori , tolle Loreida Mesikäpa juures . 
174	NA	" "" Aga ei poolt sõnagi sellest , kas siis ikka tuleb selle poisiga tuttavaks saamine , noh , ja kui tuleb , siis millal see kuradima aeg õige on . "
174	NA	" Võib-olla see õige aeg võtab nõuks uimerdada ega jõua kohale enne viimsepäeva laupäeva . "" "
175	NA	" "" Jah ja siis ka alles kell kolmveerand kaksteist öösel , "" lisasin mina . "
176	NA	" "" Misasja ? "" "
177	NA	" "" Noh , et enne lõplikku lõppu antakse ainult veerand tundi . "" "
178	NA	" "" Kas sa norid mu kallal või ? "" "
179	NA	" "" Too õige aeg on kuulu järgi vägagi õel tegelane ning viivitab kindla peale viimase minutini . "
179	NA	" Nii et ma lihtsalt konstateerin fakti , "" selgitasin tõsiselt . "
180	NA	 Reelika rahunes . 
180	NA	" "" Võib-olla too Loreida lihtsalt ei raatsinud midagi konkreetset lubada , "" arutles ta edasi . "
180	NA	" "" Luges oma kaartide pealt välja küll , aga läks kadedaks . "" "
181	NA	" "" Või ei lugenudki midagi välja , "" poetasin mina . "
181	NA	" "" Teeb oma kaartidega niisama trikke , lollitab rahvast ja võtab kallist raha . "" "
182	NA	" "" Aga too Margit sealt üheteistkümnendast , see lokilammas , tead ju küll — sellele oli Loreida väga õiget juttu rääkind . "
182	NA	" Margiti soovituse peale ma sinna läksingi . "" "
183	NA	" "" Margit , see on ju igavene latatara . "
183	NA	 Kindla peale vaterdas ta seal ise liiga palju . 
183	NA	" Mis siis viga loogikat käiku võttes ennustada , kui kliendi elulugu on juba üldjoontes teada . "" "
184	NA	" "" Oh-oh , küll sina oled alles asjatundja , "" imestas Reelika . "
185	NA	" "" Ma ühest ajakirjast lugesin , et ennustaja juurde minnes ei tohi ise endast poolt sõnagi iitsatada , muidu annad talle kondi hambusse , "" selgitasin mina . "
186	NA	" "" Kuule , aga kas sina ei tahaks minna ? "
186	NA	" Hoiad suu lukus ja näis siis , mis ta su näost või kust iganes välja loeb . "" "
187	NA	" "" Too tahab ju kindla peale oma kaardiladumise eest hullumoodi raha , "" olin mina vastu . "
187	NA	" "" Mul on oma rahaga muud targematki teha . "
187	NA	" Mul on üks raamat sihikul ja ... "" "
188	NA	 Reelika ei lasknud mul lõpetada . 
188	NA	" "" Aga põnev oleks ju ikka . "
188	NA	" Kas sa tõesti ei tahaks teada , et näiteks kuu aja pärast kohtad sa vastupandamatult nägusat , melanhoolsete silmadega üliromantilist noormeest , kes ühel sügisõhtul astub su ärklituppa , roosibukett näpus , loeb sulle küünlavalgel luuletusi ning vannub , et armastab sind surmani või koguni igavesti . "" "
188	NA	 Reelika õhkas vaimustunult , nähes ilmselt vaimusilmas selle roosibuketi saajana hoopis iseennast . 
189	NA	" "" Mu meelest on palju põnevam , kui see juhtub nii , et ma sellest ette ei tea . "
189	NA	" Muidu käi päevad otsa nagu kuutõbine ringi ja vahi iga vastutuleva poisi pärast silmad pealuust välja , et kas mitte too ei vasta ennustaja kirjeldusele . "" "
190	NA	" "" Küll sina oled ikka imelik , "" lõi Reelika käega . "
190	NA	" "" Muuseas , ma sõidan homme linna . "
190	NA	 Mine tea , äkki võtab õige aeg nõuks kohale komberdada . 
190	NA	" Nii et hoia mulle pöialt ! "" "
191	 10 . 	 10 . 
192	NA	 Kuigi me Reelikaga oleme väga erinevad , saame me üldiselt siiski päris hästi läbi . 
192	NA	 Nii et ma hoidsin talle ikka väikest viisi pöialt küll , nagu ta palus . 
192	NA	 Aga järgmise päeva õhtul ei tormanudki ta ust paugutades minu tuppa sisse , nagu tal viimasel ajal pärast linnaskäiku kombeks oli saanud . 
192	NA	 Olin küll kella üheteistkümneni üleval , aga ta isegi ei helistanud mitte . 
192	NA	 Ja järgmisel päeval ei tulnud ta ka kooli . 
192	NA	 Gümnaasiumisse , kus me nüüd käime , on Viljakülast kakskümmend kilomeetrit . 
192	NA	 Reelika ei tule enamasti bussiga kooli , teda toob paps autoga , sest papsi töökoht asub üsna kooli lähedal . 
192	NA	 Mõtlesin siis , et ehk on auto rikki läinud ja Reelikal on lihtsalt üks mõnus popipäev , aga asi oli , nagu öeldakse , palju proosalisem . 
192	NA	 Õhtul astus Reelika minu tuppa sisse harjumatult vaikselt . 
192	NA	 Tükk aega ei lausunud ta sõnagi . 
193	NA	" "" Täielik košmaar ! "" pahvatas ta siis äkki . "
193	NA	" "" Ja ma nii lootsin . "
193	NA	 Ma olin juba peaaegu kindel . 
193	NA	 Ja siis ilmub äkki välja see punase peaga plika , riputab ennast talle kaela ja nad kudrutavad nagu turteltuvid . 
193	NA	" Pagan ! "" "
193	NA	 Reelika oli nutma puhkemas . 
193	NA	" Korraga ajas ta aga selja sirgu ning ütles : "" Tegelikult olen ma ise üks viimane idioot . "
193	NA	 Täielik lollpea , noh . 
193	NA	" Mul polnud ju vähimatki põhjust loota . "" "
193	NA	 Reelika tõusis tugitoolist püsti ja hakkas toas edasi-tagasi kõndima . 
193	NA	" "" Kui see armastus ikka inimese peast nii segi ajab , siis ta küll üks väärt värk ei ole . "
193	NA	" Mitte ei mõista , kuidas sulle seda kainet mõistust nii palju on antud , et sina siiani ühegi poisi pärast peast lolliks pole läind . "" "
194	NA	" "" Ma ei usu , et mul see lolliks minemine tulemata jääb , "" püüdsin Reelikat lohutada . "
195	NA	" "" Ja-jah , aga mida mina siis nüüd teen ? "
195	NA	 Kõik mu heleroosad unelmad on põrmuks pudenenud ja sina ei oska ka mulle nõu anda . 
195	NA	 See , et ma ise olen süüdi , et nii lollilt lootsin , eriti ikka ei lohuta . 
195	NA	" Kuradima hea oleks kedagi teist süüdistada , hingel hakkaks kohe kergem . "" "
196	NA	 Mõtlesin pingsalt , mis nõu võiksin ma Reelikale anda . 
196	NA	 Püüdsin meelde tuletada kõikvõimalikke raamatuid , mida olen lugenud ja kust võiks mõne väärt nõuande leida , kuid esiotsa ei meenunud mulle midagi . 
196	NA	 Korraga hakkasin ma aga metsikult naerma . 
197	NA	" "" Einoh , sa oled ikka tore sõber küll , "" sai Reelika vihaseks . "
197	NA	" "" Minul on hing haige , aga sina kukud minu üle naerma . "" "
198	NA	" "" Ma ei naera sinu üle , tõepoolest . "
198	NA	" Ma leidsin sulle väärt nõuande , aga see on hullupööra naljakas . "" "
199	NA	 Reelika vaatas mind kahtlevalt . 
200	NA	" "" Nali on universaalne päästerõngas ! "
200	NA	" Aitab absoluutselt igas olukorras , kui miski muu enam ei aita , "" lisasin selgituseks . "
201	NA	" "" Kui sa ise säärases olukorras oleksid , siis sa tõenäoliselt nii ei ütleks , "" oli Reelika kindel . "
202	NA	" "" Aga ... võib-olla ma seetõttu polegi siiani s ä ä r a s e s s e olukorda sattunud , et nali on mu kaitseingel , "" tuli mulle äkki väärt mõte pähe . "
203	NA	" "" Hea küll , lase siis tulla . "
203	NA	" Näis , kas aitab . "" "
203	NA	 Reelika keris end uuesti minu tugitooli ja jäi ootama . 
204	NA	" Olles uurinud Reelika nägu ja veendunud , et ta on tõepoolest tähelepanu ise , alustasin oma etteastet : "" Ühesõnaga , mulle meenus üks vana hea eesti film . "
204	NA	" Ja kas sa tead , kuidas kõlab viimane lause , mis selles filmis öeldakse ? "" "
204	NA	" Tegin tähendusrikka pausi ja deklameerisin siis nii ilmekalt , kui oskasin : "" Mammi , mis sa nutad , maailm mehi täis ! "
204	NA	" "" "" "
205	NA	 Reelika vaatas mulle pikalt otsa , kulm kortsus , ja purskas siis äkki täiest kõrist naerma . 
205	NA	" "" Einoh , täitsa lõpp ! "" "
205	NA	 Seejärel jäi ta hetkeks mõttesse . 
205	NA	" "" Ainult et ... "" mammi "" asemele kõlbaks vist antud hetkel "" mimmi "" , "" ütles ta siis . "
205	NA	 Naersime mõlemad kui meeletud . 
206	NA	 Tol õhtul lahkus Reelika minu juurest lausa suurepärases meeleolus , hoidis ainult käega kõhtu kinni . 
